airport,airportLabel,country,countryLabel,continent,continentLabel,coordinate_location,image
http://www.wikidata.org/entity/Q17523,Bathurst Airport,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q49,North America,Point(-65.7389 47.6297),http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%A9roport%20Bathurst.JPG
http://www.wikidata.org/entity/Q17523,Bathurst Airport,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q49,North America,Point(-65.7389 47.6297),http://commons.wikimedia.org/wiki/Special:FilePath/Bathurst%20Regional%20Airport.jpg
http://www.wikidata.org/entity/Q8688,San Francisco International Airport,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q49,North America,Point(-122.375 37.618888888),http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20San%20Francisco%20International%20Airport%202010.jpg
http://www.wikidata.org/entity/Q8731,Los Angeles International Airport,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q49,North America,Point(-118.408056 33.9425),http://commons.wikimedia.org/wiki/Special:FilePath/LAX%20LA.jpg
http://www.wikidata.org/entity/Q8731,Los Angeles International Airport,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q49,North America,Point(-118.408056 33.9425),http://commons.wikimedia.org/wiki/Special:FilePath/LAX2.jpg
http://www.wikidata.org/entity/Q14295,Seattle–Tacoma International Airport,http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q49,North America,Point(-122.309444 47.448889),http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20KSEA%20May%202012.JPG
http://www.wikidata.org/entity/Q17480,Antwerp International Airport,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q46,Europe,Point(4.460277777 51.189444444),http://commons.wikimedia.org/wiki/Special:FilePath/Antwerp%20Airport%20%28Deurne%29.jpg
http://www.wikidata.org/entity/Q17480,Antwerp International Airport,http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q46,Europe,Point(4.460277777 51.189444444),http://commons.wikimedia.org/wiki/Special:FilePath/Luchthavengebouw%20Antwerpen-Deurne.jpg
http://www.wikidata.org/entity/Q9064,Carrasco International Airport,http://www.wikidata.org/entity/Q77,Uruguay,http://www.wikidata.org/entity/Q18,South America,Point(-56.030833333 -34.838333333),http://commons.wikimedia.org/wiki/Special:FilePath/Airport%20%28235599585%29.jpeg
http://www.wikidata.org/entity/Q9071,Capitán de Corbeta Carlos A. Curbelo International Airport,http://www.wikidata.org/entity/Q77,Uruguay,http://www.wikidata.org/entity/Q18,South America,Point(-55.094166666 -34.855),http://commons.wikimedia.org/wiki/Special:FilePath/Flughafen%20Punta%20del%20Este.jpg
http://www.wikidata.org/entity/Q1547,Lyon–Saint-Exupéry Airport,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q46,Europe,Point(5.081111111 45.725555555),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20d%27une%20partie%20de%20l%27a%C3%A9roport%20de%20Lyon%20Saint-Exup%C3%A9ry%20et%20de%20la%20gare%20TGV%20%28septembre%202022%29.jpg
http://www.wikidata.org/entity/Q4102,Lyon-Bron Airport,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q46,Europe,Point(4.938888 45.729445),http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%A9rodrome%20Lyon-Bron.JPG
http://www.wikidata.org/entity/Q17430,Roland Garros Airport,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q46,Europe,Point(55.516388888 -20.89),http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%A9roport-Roland-Garros.jpg
http://www.wikidata.org/entity/Q17431,Pierrefonds Airport,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q46,Europe,Point(55.425555555 -21.321666666),http://commons.wikimedia.org/wiki/Special:FilePath/Pierrefond.JPG
http://www.wikidata.org/entity/Q8694,Manchester Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-2.275 53.353889),http://commons.wikimedia.org/wiki/Special:FilePath/Manchester%20Airport.jpg
http://www.wikidata.org/entity/Q8716,Edinburgh Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-3.3725 55.95),http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20Airport%201.jpg
http://www.wikidata.org/entity/Q8719,Birmingham Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-1.748055555 52.453888888),http://commons.wikimedia.org/wiki/Special:FilePath/Birmingham%20Airport%2C%20England%2C%20Feb.%202008.jpg
http://www.wikidata.org/entity/Q8721,Glasgow Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-4.433055555 55.871944444),http://commons.wikimedia.org/wiki/Special:FilePath/GlasgowAirportFromAir.jpg
http://www.wikidata.org/entity/Q8725,Bristol Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-2.719167 51.382778),http://commons.wikimedia.org/wiki/Special:FilePath/N%20Side%20Road%2C%20Bristol%20Airport%20-%20geograph.org.uk%20-%203737093.jpg
http://www.wikidata.org/entity/Q8727,Liverpool John Lennon Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-2.849722222 53.333611111),http://commons.wikimedia.org/wiki/Special:FilePath/John%20Lennon%20Airport%20Lpool.jpg
http://www.wikidata.org/entity/Q8975,Newcastle International Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-1.691666666 55.0375),http://commons.wikimedia.org/wiki/Special:FilePath/Newcastle%20International%20Airport%20-%20geograph.org.uk%20-%20308047.jpg
http://www.wikidata.org/entity/Q8977,East Midlands Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-1.328055555 52.831111111),http://commons.wikimedia.org/wiki/Special:FilePath/East%20Midlands2.JPG
http://www.wikidata.org/entity/Q8979,Belfast International Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-6.215833 54.6575),http://commons.wikimedia.org/wiki/Special:FilePath/Belfast%20International%20Airport%20-%20geograph.org.uk%20-%20119152.jpg
http://www.wikidata.org/entity/Q8981,Aberdeen Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-2.197778 57.201944),http://commons.wikimedia.org/wiki/Special:FilePath/Aberdeen%20Airport%20-%20geograph.org.uk%20-%201470090.jpg
http://www.wikidata.org/entity/Q8981,Aberdeen Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-2.197778 57.201944),http://commons.wikimedia.org/wiki/Special:FilePath/Aberdeen%20Airport%20Control%20Tower%20-%20geograph.org.uk%20-%20707216.jpg
http://www.wikidata.org/entity/Q8981,Aberdeen Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-2.197778 57.201944),http://commons.wikimedia.org/wiki/Special:FilePath/Aberdeen%20Airport%20terminal%20close%20up%2023-03-11.JPG
http://www.wikidata.org/entity/Q8981,Aberdeen Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-2.197778 57.201944),http://commons.wikimedia.org/wiki/Special:FilePath/Check-in%2C%20Aberdeen%20Airport%20-%20geograph.org.uk%20-%201753732.jpg
http://www.wikidata.org/entity/Q8982,London City Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(0.055278 51.505278),http://commons.wikimedia.org/wiki/Special:FilePath/London%20City%20Airport%20Zwart.jpg
http://www.wikidata.org/entity/Q8987,George Best Belfast City Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-5.871233 54.615486),http://commons.wikimedia.org/wiki/Special:FilePath/George%20Best%20Belfast%20City%20Airport%20-%20geograph.org.uk%20-%20714574.jpg
http://www.wikidata.org/entity/Q8988,Southampton Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-1.356666666 50.950277777),http://commons.wikimedia.org/wiki/Special:FilePath/Southampton%20Airport%20Control%20Tower%20-%20geograph.org.uk%20-%2028103.jpg
http://www.wikidata.org/entity/Q8992,Glasgow Prestwick Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-4.594444444 55.509444444),http://commons.wikimedia.org/wiki/Special:FilePath/GPAirport.jpg
http://www.wikidata.org/entity/Q8994,Cardiff Airport,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q46,Europe,Point(-3.343333333 51.396666666),http://commons.wikimedia.org/wiki/Special:FilePath/CardiffInternationalAirport.jpg
